file_path	artifact_type	classification	validity_for_closure	owner_field	decision_field	ca_method_markers	parity_scope	source_notes
docs/_omoc_inputs/support/how/OMOC WP__OMOC_WP-014+RB+WI_v4.0.1-r2.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC_SubP1-LITE+MVP__Spartoi-OMOC_SubP1-LITE+MVP Spine_Walking Skeleton Pack v0_v2.1.0-r1.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC_SubP1-LITE+MVP__Spartoi-OMOC_SubP1-LITE+MVP_Dev RUNBOOK + WI_ v2.1.0-r2.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC_SubP1-LITE+MVP__Spartoi-OMOC_SubP1-LITE+MVP_Ops RUNBOOK + WI_v2.1.0-r2.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC__Spartoi-OMOC Blueprint v2.2.0-r1.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC__Spartoi-OMOC_ARCH_v8.1.0.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC__Spartoi-OMOC_LBP-A(SIR) v8.1.1-r1.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC__Spartoi-OMOC_LBP-B(ICD)v8.1.1-r2.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC__Spartoi-OMOC_LBP-D(C4) v8.1.1-r2.md.HOW.md	md	UNKNOWN	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC__Spartoi-OMOC_SRS_v8.1.0.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC__Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/support/how/Spartoi-OMOC__Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md.HOW.md	md	INDIRECT_ONLY	NO					
docs/acceptance/final/20260306T165046Z/20260306T165046Z_acceptance_report.json	json	INDIRECT_ONLY	NO	owner:auditor				
docs/acceptance/final/20260306T165046Z/20260306T165046Z_acceptance_report_wrapped.json	json	INDIRECT_ONLY	NO	owner:auditor				
docs/acceptance/final/20260306T165046Z/20260306T165046Z_evidence_upload.txt	txt	UNKNOWN	NO					
docs/acceptance/final/20260306T165046Z/20260306T165046Z_finalize_acceptance_report.json	json	UNKNOWN	NO					
docs/acceptance/final/20260306T165046Z/README.md	md	UNKNOWN	NO					
docs/acceptance/final/20260306T165046Z/acceptance_report.json	json	INDIRECT_ONLY	NO	owner:auditor				
docs/acceptance/final/20260306T165046Z/supporting/acceptance_report.json	json	INDIRECT_ONLY	NO	owner:auditor				
docs/acceptance/final/20260308T052442Z/20260308T052442Z_FULL_OMOC_COMPLETION_EVIDENCE.md	md	INDIRECT_ONLY	NO					
docs/acceptance/final/20260308T052442Z/20260308T052442Z_FULL_OMOC_COMPLETION_INDEX.json	json	INDIRECT_ONLY	NO					
docs/acceptance/handoff_latest.md	md	INDIRECT_ONLY	NO					
docs/acceptance/lane-f/20260303T151939Z/acceptance_report.copy.json	json	UNKNOWN	NO					
docs/acceptance/lane-f/20260303T151939Z/handoff.md	md	INDIRECT_ONLY	NO					
docs/acceptance/wp-009-rbwi/20260305T172741Z/acceptance_manifest.copy.json	json	UNKNOWN	NO					
docs/acceptance/wp-009-rbwi/20260305T172741Z/acceptance_report.copy.json	json	UNKNOWN	NO					
docs/acceptance/wp-009-rbwi/20260305T172741Z/handoff.md	md	UNKNOWN	NO					
docs/handoff/dual_lane_preflight_handoff_20260304T080056Z.md	md	UNKNOWN	NO					
docs/handoff/dual_lane_preflight_handoff_20260305T045255Z.md	md	UNKNOWN	NO					
docs/handoff/dual_lane_preflight_handoff_20260305T054305Z.md	md	UNKNOWN	NO					
docs/probes/mq_probe_20260305T045255Z.md	md	UNKNOWN	NO					
docs/skills_pack_src/README.md	md	UNKNOWN	NO					
docs/ssot_promotion/20260305T174644Z/ssot_registry.json	json	UNKNOWN	NO					
evidence/CR_OPEN_TT_ACCEPTANCE_REPORT.md	md	UNKNOWN	NO					
evidence/CR_OPEN_TT_evidence.PASS.txt	txt	UNKNOWN	NO					
evidence/RUNPACK_RP-CR_OPEN-TT-ONEPASS-FULL-CLOSE-20260303-R1_COMPLETION_REPORT.txt	txt	OLD_TEMP_CLOSED	NO					
evidence/_acceptance_wrapper_ping.rc.txt	txt	UNKNOWN	NO					
evidence/_acceptance_wrapper_ping.txt	txt	UNKNOWN	NO					
evidence/_drift_guard/20260223T063000Z/TT-RIPB-ENDPOINTS-DISCOVER-001.json	json	INDIRECT_ONLY	NO		BLOCK			
evidence/_drift_guard/20260223T063000Z/allowlist_enforce_rc.txt	txt	UNKNOWN	NO					
evidence/_drift_guard/20260223T090000Z/audit_ready.json	json	INDIRECT_ONLY	NO					
evidence/_drift_guard/20260223T093000Z/audit_ready.json	json	INDIRECT_ONLY	NO					
evidence/_drift_guard/20260223T100000Z/audit_ready.json	json	INDIRECT_ONLY	NO					
evidence/_pr_fix_reports/PR_10_MERGE_VERIFICATION_20260303T051200Z.txt	txt	INDIRECT_ONLY	NO					
evidence/_quarantine/2026-02-14T00-00-00Z_20260216T115329Z/log.txt	txt	UNKNOWN	NO					
evidence/_quarantine/2026-02-15T05-12-27Z_20260216T115329Z/evidence_OMOC_v4_fix_3of4.txt	txt	UNKNOWN	NO					
evidence/_quarantine/2026-02-15T05-12-27Z_20260216T115329Z/ruleset_12793412.json	json	UNKNOWN	NO					
