filename	original_path	target_path	target_dir	reason
OMOC WP__OMOC_WP-001+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-001+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-001+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-002+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-002+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-002+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-003+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-003+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-003+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-005+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-005+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-005+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-007+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-007+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-007+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-008+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-008+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-008+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-009+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-009+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-009+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-010+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-010+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-010+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-011+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-011+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-011+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-012+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-012+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-012+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
